Person_ID,RD_No,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
O1415621,JF387974,09/08/2022 11:44:00 AM,710 N MILWAUKEE AVE,CYCLIST,-87.6528852,41.89446403,POINT (-87.6528852 41.89446403)
O739363,JC435095,09/16/2019 12:00:00 AM,19 E OHIO ST,PEDESTRIAN,-87.62724,41.892374,POINT (-87.62724 41.892374)
O1310536,JF195419,04/03/2022 04:05:00 AM,929 W MARQUETTE RD,DRIVER,-87.64817177,41.77231242,POINT (-87.64817177 41.77231242)
P212634,JD319058,08/02/2020 08:23:00 PM,5799 S LAKE SHORE DR,PASSENGER,-87.57898,41.790282,POINT (-87.57898 41.790282)
O1389520,JF338106,07/30/2022 11:50:00 PM,4600 W DIVERSEY,PEDESTRIAN,-87.74199681,41.93170309,POINT (-87.74199681 41.93170309)
O1335186,JF238182,05/11/2022 01:06:00 PM,2101 W PETERSON AVE,PEDESTRIAN,-87.68258356,41.99051688,POINT (-87.68258356 41.99051688)
O953575,JD359074,09/06/2020 11:20:00 PM,3358 W 114TH ST,PEDESTRIAN,-87.70539,41.686628,POINT (-87.70539 41.686628)
O783891,JC513559,11/17/2019 02:40:00 AM,1000 W IRVING PARK,PEDESTRIAN,-87.65463,41.954597,POINT (-87.65463 41.954597)
O1154682,JE325852,08/04/2021 01:14:00 AM,1101 W IRVING PARK RD,DRIVER,-87.65698331,41.95434048,POINT (-87.65698331 41.95434048)
P306758,JF317920,07/14/2022 09:35:00 PM,4331 N  MANNHEIM RD,PASSENGER,-87.884217,41.957599,POINT (-87.884217 41.957599)
O1103269,JE243128,05/26/2021 04:02:00 AM,200 N KOSTNER AVE,PEDESTRIAN,-87.73570901,41.88330951,POINT (-87.73570901 41.88330951)
P148464,JC277446,05/24/2019 11:17:00 PM,2634 E 126TH ST,PASSENGER,-87.55865,41.666288,POINT (-87.55865 41.666288)
O1082544,JE209417,04/25/2021 04:00:00 AM,10000 W OHARE ST,DRIVER,-87.90530913,41.97620114,POINT (-87.90530913 41.97620114)
O624047,JC222309,04/12/2019 08:03:00 PM,2900 S LAKE SHORE DR SB,PEDESTRIAN,-87.6103,41.842075,POINT (-87.6103 41.842075)
O1028853,JD455562,12/10/2020 11:31:00 AM,1159 N HAMLIN AVE,PEDESTRIAN,-87.63158,41.834487,POINT (-87.63158 41.834487)
O882908,JD230760,05/12/2020 07:00:00 PM,3036 W IRVING PARK RD,DRIVER,-87.70465,41.954051,POINT (-87.70465 41.954051)
O1139967,JE301656,07/14/2021 08:00:00 PM,7300 N SACRAMENTO,CYCLIST,-87.70455995,42.01382663,POINT (-87.70455995 42.01382663)
O1174096,JE357337,09/01/2021 12:15:00 AM,3836 S LAKE SHORE DRIVE BLVD SB,DRIVER,-87.6017337,41.82677716,POINT (-87.6017337 41.82677716)
O916792,JD294401,07/11/2020 11:50:00 PM,11100 S PULASKI RD,PEDESTRIAN,-87.72046,41.691095,POINT (-87.72046 41.691095)
O682190,JC327522,06/29/2019 04:06:00 PM,9499 S  ST LAWRENCE AVE,MOTORCYCLIST,-87.60916,41.722069,POINT (-87.60916 41.722069)
O800965,JC544644,12/12/2019 07:20:00 PM,10220 S WENTWORTH AVE,DRIVER,-87.62849,41.70827,POINT (-87.62849 41.70827)
O1189531,JE382096,09/21/2021 01:30:00 PM,3600 S CALIFORNIA AVE,PEDESTRIAN,-87.69490963,41.82822428,POINT (-87.69490963 41.82822428)
P205685,JD266584,06/17/2020 03:00:00 AM,3300 W 87TH ST,PASSENGER,-87.70463,41.735259,POINT (-87.70463 41.735259)
,X03-20-03251,03/05/2020 06:34:00 PM,REPORTED BY EXTERNAL POLICE DEPARTMENT,DRIVER,-87.58499267,41.72135413,POINT (-87.58499267 41.72135413)
O1217283,JE428442,10/30/2021 11:38:00 PM,8201 S STONY ISLAND AVE,DRIVER,-87.58525697,41.7459383,POINT (-87.58525697 41.7459383)
O614378,JC204958,03/29/2019 08:02:00 PM,14 W 87th ST,CYCLIST,-87.62498,41.73639,POINT (-87.62498 41.73639)
O573363,JC133191,01/29/2019 03:25:00 AM,7459 S RACINE AVE,DRIVER,-87.65379,41.757968,POINT (-87.65379 41.757968)
O720157,JC382901,08/07/2019 05:00:00 PM,4300 S CALIFORNIA AVE,PEDESTRIAN,-87.69457,41.81545,POINT (-87.69457 41.81545)
O1059292,JE170055,03/15/2021 09:41:00 PM,318 E 71ST ST,DRIVER,-87.61763,41.765773,POINT (-87.61763 41.765773)
O810553,JC560899,12/26/2019 03:07:00 PM,248 W GARFIELD BLVD,PEDESTRIAN,-87.63251977,41.79463459,POINT (-87.63251977 41.79463459)
O685933,JC333803,07/03/2019 09:53:00 PM,6900 S STONY ISLAND AVE,MOTORCYCLIST,-87.58638,41.76965,POINT (-87.58638 41.76965)
P261175,JE341301,08/18/2021 09:22:00 AM,9100 S LAFAYETTE,PASSENGER,-87.62538276,41.72893072,POINT (-87.62538276 41.72893072)
O978009,JD400195,10/14/2020 02:37:00 PM,2605 W VAN BUREN ST,PEDESTRIAN,-87.64522,41.802543,POINT (-87.64522 41.802543)
O989146,JD421565,11/05/2020 10:25:00 AM,1155 S MORGAN ST,PEDESTRIAN,-87.6509,41.867154,POINT (-87.6509 41.867154)
O1230144,JE450267,11/19/2021 11:01:00 AM,2323 W 111TH ST,PEDESTRIAN,-87.67977917,41.6916792,POINT (-87.67977917 41.6916792)
O1365553,JF292549,06/24/2022 04:07:00 PM,6246 S AUSTIN AVE,CYCLIST,-87.77165725,41.77829263,POINT (-87.77165725 41.77829263)
O942495,JD339575,08/20/2020 08:08:00 PM,5199 S PAYNE DR,PEDESTRIAN,-87.60744328,41.8002944,POINT (-87.60744328 41.8002944)
P290150,JF181933,03/21/2022 07:50:00 PM,600 E MORGAN DR,PASSENGER,-87.61094754,41.79325819,POINT (-87.61094754 41.79325819)
P230998,JE105573,01/06/2021 11:20:00 PM,8623 S VINCENNES AVE,PASSENGER,-87.64234,41.737903,POINT (-87.64234 41.737903)
O1168111,JE347654,08/23/2021 07:45:00 PM,1650 N ELSTON,MOTORCYCLIST,-87.66325377,41.91197223,POINT (-87.66325377 41.91197223)
O1155119,JE291564,07/04/2021 11:50:00 PM,8200 S STONY ISLAND AVE,PEDESTRIAN,-87.58599491,41.74592826,POINT (-87.58599491 41.74592826)
O1427068,JF397591,09/15/2022 07:53:00 PM,1029 W 79TH ST,PEDESTRIAN,-87.5991867,41.75124085,POINT (-87.5991867 41.75124085)
O1408357,JF374389,08/29/2022 07:45:00 AM,1201 N CICERO AVE,DRIVER,-87.74583229,41.90239931,POINT (-87.74583229 41.90239931)
P166291,JC411518,08/29/2019 02:20:00 AM,1 S HALSTED ST,PASSENGER,-87.64721,41.881717,POINT (-87.64721 41.881717)
P217370,JD358151,09/06/2020 03:20:00 AM,1000 N LAKE SHORE DR NB,PASSENGER,-87.61978,41.901003,POINT (-87.61978 41.901003)
O1053810,JE159640,03/05/2021 08:35:00 AM,5123 S WESTERN,DRIVER,-87.65398,41.800411,POINT (-87.65398 41.800411)
O873557,JD211440,04/18/2020 04:31:00 AM,5959 W WARWICK AVE,DRIVER,-87.77648,41.948393,POINT (-87.77648 41.948393)
O1074810,JE196380,04/11/2021 03:25:00 PM,2800 N ALBANY AVE,PEDESTRIAN,-87.70512936,41.93213113,POINT (-87.70512936 41.93213113)
O1244990,JE474920,12/12/2021 12:45:00 PM,5301 N DUSABLE LAKE SHORE DR,DRIVER,-87.65088926,41.97833081,POINT (-87.65088926 41.97833081)
O1100265,JE238143,05/21/2021 11:00:00 PM,1667 E HAYES DR,MOTORCYCLIST,-87.58442659,41.7805041,POINT (-87.58442659 41.7805041)
O1229896,JE449887,11/18/2021 10:50:00 PM,101 W ROOSEVELT RD,DRIVER,-87.63048697,41.86726343,POINT (-87.63048697 41.86726343)
P268396,JE396126,10/03/2021 03:03:00 AM,2400 W IRVING PARK RD - PENDING,PASSENGER,-87.68858958,41.9541207,POINT (-87.68858958 41.9541207)
O644899,JC259570,05/11/2019 11:14:00 PM,8300 S COTTAGE GROVE AVE,PEDESTRIAN,-87.60517616,41.74387382,POINT (-87.60517616 41.74387382)
O896315,JD257709,06/08/2020 02:39:00 PM,4500 S RACINE AVE,DRIVER,-87.65539,41.812277,POINT (-87.65539 41.812277)
O1011542,JD463787,12/19/2020 04:50:00 PM,10100 S VERNON AVE,DRIVER,-87.61279,41.710885,POINT (-87.61279 41.710885)
O869320,JD202352,04/05/2020 02:11:00 AM,1725 E 67TH ST,PEDESTRIAN,-87.58279,41.773265,POINT (-87.58279 41.773265)
O629006,JC231196,04/20/2019 06:34:00 AM,2751 N LAKE SHORE DR NB,DRIVER,-87.63176,41.932313,POINT (-87.63176 41.932313)
